,Symbol,Name,Sector,Industry
476,VNO,Vornado Realty Trust,Real Estate,Office REITs
477,VMC,Vulcan Materials Company,Materials,Construction Materials
478,WAB,Wabtec,Industrials,Construction Machinery & Heavy Trucks
479,WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail
480,WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers
481,WBD,Warner Bros. Discovery,Communication Services,Broadcasting
482,WM,Waste Management,Industrials,Environmental & Facilities Services
483,WAT,Waters Corporation,Health Care,Health Care Distributors
484,WEC,WEC Energy Group,Utilities,Electric Utilities
485,WFC,Wells Fargo,Financials,Diversified Banks
486,WELL,Welltower,Real Estate,Health Care REITs
487,WST,West Pharmaceutical Services,Health Care,Health Care Supplies
488,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals"
489,WRK,WestRock,Materials,Paper Packaging
490,WY,Weyerhaeuser,Real Estate,Specialized REITs
491,WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances
492,WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation
493,WTW,Willis Towers Watson,Financials,Insurance Brokers
494,GWW,W. W. Grainger,Industrials,Industrial Machinery
495,WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming
496,XEL,Xcel Energy,Utilities,Multi-Utilities
497,XYL,Xylem Inc.,Industrials,Industrial Machinery
498,YUM,Yum! Brands,Consumer Discretionary,Restaurants
499,ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments
500,ZBH,Zimmer Biomet,Health Care,Health Care Equipment
501,ZION,Zions Bancorporation,Financials,Regional Banks
502,ZTS,Zoetis,Health Care,Pharmaceuticals
